record_id,status,content_type,source_type,source_key,source_url,source_file,title,uploader,ad_classification,confidence_score,needs_review,review_reason,error
video::https://www.youtube.com/watch?v=97_WiZvq9wY,completed,video,youtube,https://www.youtube.com/watch?v=97_WiZvq9wY,https://www.youtube.com/watch?v=97_WiZvq9wY,,Set Up Your $75 Bing Ads Promo Code Today with Clever Ads,Clever Ads - AI Advertising Tools,unofficial,0.5544692258834839,True,low_confidence,
video::https://www.youtube.com/watch?v=qRu8u9137eE,completed,video,youtube,https://www.youtube.com/watch?v=qRu8u9137eE,https://www.youtube.com/watch?v=qRu8u9137eE,,Madgicx Review & Exclusive Promo Code 🚀 Save Big in 2025!,Review N Discount,unofficial,0.639876698255539,True,low_confidence,
video::https://www.youtube.com/watch?v=tznzETB0M2M,completed,video,youtube,https://www.youtube.com/watch?v=tznzETB0M2M,https://www.youtube.com/watch?v=tznzETB0M2M,,AdsPower Coupon Code 2026: Get 25% OFF (Tested & Working!),Page Coupon,unofficial,0.6511244037342072,True,low_confidence,
video::https://www.youtube.com/watch?v=oNtVccciEpg,completed,video,youtube,https://www.youtube.com/watch?v=oNtVccciEpg,https://www.youtube.com/watch?v=oNtVccciEpg,,ExpressVPN Promo Code April & May 2026 🚀 Save 74% Instantly,Habib 1 Reviews,hidden_ad,0.6714056175041199,True,low_confidence,
video::https://www.youtube.com/watch?v=nAcxI-3YehA,completed,video,youtube,https://www.youtube.com/watch?v=nAcxI-3YehA,https://www.youtube.com/watch?v=nAcxI-3YehA,,Surfshark Coupon Code | Get 89% + FREE Months | Surfshark Review 2026,TrickFox,hidden_ad,0.6943534939050675,True,low_confidence,
video::https://www.youtube.com/watch?v=ciR2vZiASCA,completed,video,youtube,https://www.youtube.com/watch?v=ciR2vZiASCA,https://www.youtube.com/watch?v=ciR2vZiASCA,,Arcads AI Review 2026: DO NOT Buy Until You Watch This! (75% Cheaper Alternatives + Promo Code),Page Coupon,unofficial,0.5536289437103272,True,low_confidence,
video::https://www.youtube.com/watch?v=C-z_rQQPRA4,completed,video,youtube,https://www.youtube.com/watch?v=C-z_rQQPRA4,https://www.youtube.com/watch?v=C-z_rQQPRA4,,Arcads AI Coupon Code 2026 – Get Exclusive 75% Off (Working Deal) Fully Safe & Secure Mega Offer,Elite Promo Codes,mention,0.40150716586072,True,low_confidence,
video::https://www.youtube.com/watch?v=JeElZgC-ZE4,completed,video,youtube,https://www.youtube.com/watch?v=JeElZgC-ZE4,https://www.youtube.com/watch?v=JeElZgC-ZE4,,AdsPower Coupon Code 2026: Get 50% OFF Instantly!,Page Coupon,unofficial,0.5914629260826111,True,low_confidence,
video::https://www.youtube.com/watch?v=i-Udu239yaU,completed,video,youtube,https://www.youtube.com/watch?v=i-Udu239yaU,https://www.youtube.com/watch?v=i-Udu239yaU,,Surfshark Coupon Code 2026 | Latest Surfshark VPN Promo Code 🔥,CouponCodein,hidden_ad,0.7008096841373445,True,low_confidence,
video::https://www.youtube.com/watch?v=-mzwZ-jNyAM,completed,video,youtube,https://www.youtube.com/watch?v=-mzwZ-jNyAM,https://www.youtube.com/watch?v=-mzwZ-jNyAM,,Arcads AI Pricing & Coupon Code (Secret 50% Off in 2026),Page Coupon,unofficial,0.5168966773710252,True,low_confidence,
video::https://www.youtube.com/watch?v=z7WHkR6clb8,completed,video,youtube,https://www.youtube.com/watch?v=z7WHkR6clb8,https://www.youtube.com/watch?v=z7WHkR6clb8,,Arcads AI Pricing 2026: Get 30% OFF + Official Promo Code Secrets! (Verified),Page Coupon,unofficial,0.5537919114589691,True,low_confidence,
video::https://www.youtube.com/watch?v=9ppLjDWSucU,completed,video,youtube,https://www.youtube.com/watch?v=9ppLjDWSucU,https://www.youtube.com/watch?v=9ppLjDWSucU,,Unlock Your $520 Bonus with 1XBET Promo Code 2026 - Register Now!,Casino Review,unofficial,0.4870781592283249,True,low_confidence,
video::https://www.youtube.com/watch?v=8HC3evqKF1Q,completed,video,youtube,https://www.youtube.com/watch?v=8HC3evqKF1Q,https://www.youtube.com/watch?v=8HC3evqKF1Q,,RichAds Review [In-page push ads tutorial] - Promo Code for 10% Bonus,Vashishtha Kapoor,unofficial,0.5979121172428131,True,low_confidence,
video::https://www.youtube.com/watch?v=bLf68D-QOT0,completed,video,youtube,https://www.youtube.com/watch?v=bLf68D-QOT0,https://www.youtube.com/watch?v=bLf68D-QOT0,,Helium 10 Discount | Helium 10 Coupon Code 2026 | Helium10 Promo Code | Updated Coupon Code 2026,Deal Drops,hidden_ad,0.742737804889679,True,low_confidence,
video::https://www.youtube.com/watch?v=Taqw7k0E6a0,completed,video,youtube,https://www.youtube.com/watch?v=Taqw7k0E6a0,https://www.youtube.com/watch?v=Taqw7k0E6a0,,✨ Contabo Promo Code - Get Your First Server 60% OFF!,Digital Product Reviews,hidden_ad,0.5942868254375457,True,low_confidence,
video::https://www.youtube.com/watch?v=xmRatypnRJ0,completed,video,youtube,https://www.youtube.com/watch?v=xmRatypnRJ0,https://www.youtube.com/watch?v=xmRatypnRJ0,,Surfshark Coupon Code ✅ Save 88% + Get Bonus FREE Months,TrickFox,hidden_ad,0.7538803460597993,True,low_confidence,
video::https://www.youtube.com/watch?v=UEqhFqav-_Q,completed,video,youtube,https://www.youtube.com/watch?v=UEqhFqav-_Q,https://www.youtube.com/watch?v=UEqhFqav-_Q,,Arcads AI Promo Code 2026: Get 50% OFF! (Limited Time),Page Coupon,unofficial,0.5465493545532227,True,low_confidence,
video::https://www.youtube.com/watch?v=pWcXpYXKDb8,completed,video,youtube,https://www.youtube.com/watch?v=pWcXpYXKDb8,https://www.youtube.com/watch?v=pWcXpYXKDb8,,How to find Promo Codes to share with your followers,Amazon Associates Programs,unofficial,0.5313082698211671,True,low_confidence,
video::https://www.youtube.com/watch?v=AWMVBCoSLyw,completed,video,youtube,https://www.youtube.com/watch?v=AWMVBCoSLyw,https://www.youtube.com/watch?v=AWMVBCoSLyw,,Surfshark Coupon Code 2026 | Surfshark VPN Promo Code 😎👌🔥,CouponCodein,unofficial,0.5711134891033173,True,low_confidence,
video::https://www.youtube.com/watch?v=-hx9uomZYYE,completed,video,youtube,https://www.youtube.com/watch?v=-hx9uomZYYE,https://www.youtube.com/watch?v=-hx9uomZYYE,,"How to Get Ad Code on Instagram (2025 Guide) | Add Partners, Branded Content & Boosts",SKILLS ACADEMY ,unofficial,0.5547896029949189,True,low_confidence,
video::https://www.youtube.com/watch?v=FVJl0FtndyQ,completed,video,youtube,https://www.youtube.com/watch?v=FVJl0FtndyQ,https://www.youtube.com/watch?v=FVJl0FtndyQ,,"Influencers Can’t Keep Getting Away With This: Improper Paid Promotion, Brand Partnership & FTC",Laurie's Wandering Mind,official,0.5302543139457703,True,low_confidence,
video::https://www.youtube.com/watch?v=QsK0PsTyo4w,completed,video,youtube,https://www.youtube.com/watch?v=QsK0PsTyo4w,https://www.youtube.com/watch?v=QsK0PsTyo4w,,How To Get Ad Code On Instagram (2026) | Share Code With Brand Or Partner,Ned TECH,official,0.63025845926857,True,low_confidence,
video::https://www.youtube.com/watch?v=2cS45n60ukU,completed,video,youtube,https://www.youtube.com/watch?v=2cS45n60ukU,https://www.youtube.com/watch?v=2cS45n60ukU,,How To Add Paid Partnership On Instagram Post,Trevor Nace,official,0.5652133844814301,True,low_confidence,
video::https://www.youtube.com/watch?v=AnIDAGPjHIw,completed,video,youtube,https://www.youtube.com/watch?v=AnIDAGPjHIw,https://www.youtube.com/watch?v=AnIDAGPjHIw,,AlphaCapital Affiliate Code : (E4TU0) Get 10% Discount On Trading Fees | AlphaCapital Partner Code,I AM SHAILESH,unofficial,0.48528104910850534,True,low_confidence,
video::https://www.youtube.com/watch?v=S8vn3mqVN7g,completed,video,youtube,https://www.youtube.com/watch?v=S8vn3mqVN7g,https://www.youtube.com/watch?v=S8vn3mqVN7g,,Upfluence Academy: AST: Setup An Affiliate Partnership Without A Discount Code (5/7),Upfluence Inc.,unofficial,0.5014562836742402,True,low_confidence,
video::https://www.youtube.com/watch?v=7T6hnnR85Wg,completed,video,youtube,https://www.youtube.com/watch?v=7T6hnnR85Wg,https://www.youtube.com/watch?v=7T6hnnR85Wg,,How To Add Coupons In Collabdiary,Collabdiary,hidden_ad,0.5771576623916627,True,low_confidence,
video::https://www.youtube.com/watch?v=_xDiHKXkWrQ,completed,video,youtube,https://www.youtube.com/watch?v=_xDiHKXkWrQ,https://www.youtube.com/watch?v=_xDiHKXkWrQ,,How to Get Instagram Partnership Ad Code (2026 Step-by-Step),Tech Academies,unofficial,0.5637127896270753,True,low_confidence,
